id,gearType,comment,IMR name,NVS label,NVS URI
7c329aae-bfe1-11ec-9d64-0242ac120002,500 ml bottle,,,,
7c329de2-bfe1-11ec-9d64-0242ac120002,Active water sampler,In situ filtration of sea water,,,
7c32a2f6-bfe1-11ec-9d64-0242ac120002,ADCP,,,,
7c32a4e0-bfe1-11ec-9d64-0242ac120002,Algal Incubator,,,,
7c32a63e-bfe1-11ec-9d64-0242ac120002,ARGO,Float,,,
7c32aa62-bfe1-11ec-9d64-0242ac120002,ASSIST,Arctic Shipborne Sea Ice Standardization Tool,,,
7c32abf2-bfe1-11ec-9d64-0242ac120002,AUV,,,,
7c32ad3c-bfe1-11ec-9d64-0242ac120002,Beam trawl,,Bunntrål,Unknown beam trawl,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0651/
7c32aecc-bfe1-11ec-9d64-0242ac120002,Bongonet 180 um,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/
7c32b020-bfe1-11ec-9d64-0242ac120002,Bongonet 64 um,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/
7c32b192-bfe1-11ec-9d64-0242ac120002,Bottle 1L,,,,
7c32b30e-bfe1-11ec-9d64-0242ac120002,Box core,,Box core,Unspecified box corer,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/
7c32b44e-bfe1-11ec-9d64-0242ac120002,Bucket,,,Bucket,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0536/
7c32b912-bfe1-11ec-9d64-0242ac120002,Calypso,Piston corer,,,
7c32bad4-bfe1-11ec-9d64-0242ac120002,Camera,,,,
7c32bc14-bfe1-11ec-9d64-0242ac120002,Campelen trawl with fish lift,,,,
7c32bdae-bfe1-11ec-9d64-0242ac120002,Campelen trawl,Without fish lift,,,
7c32bf16-bfe1-11ec-9d64-0242ac120002,Cast away CTD,,,,
7c32c074-bfe1-11ec-9d64-0242ac120002,CMET Ballons,,,,
7c32c1fa-bfe1-11ec-9d64-0242ac120002,CTD w/bottles,,CTD med vannhenter,,
7c32c344-bfe1-11ec-9d64-0242ac120002,CTD,,CTD,"Conductivity, temperature and depth package",http://vocab.nerc.ac.uk/collection/L22/current/TOOL0001/
7c32c6d2-bfe1-11ec-9d64-0242ac120002,Drone,,,,
7c32c83a-bfe1-11ec-9d64-0242ac120002,EK80,Fish echo sounder,,Simrad EK80 echo sounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1205/
7c32c9d4-bfe1-11ec-9d64-0242ac120002,EM-bird,,,,
7c32cb46-bfe1-11ec-9d64-0242ac120002,EM302,Echo Sounder,,Kongsberg EM 302 multibeam echosounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0744/
7c32cc7c-bfe1-11ec-9d64-0242ac120002,EM710,Echo Sounder,,Kongsberg EM 710 multibeam echosounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0746/
7c32cdb2-bfe1-11ec-9d64-0242ac120002,Filtration Pump,,,,
7c32ced4-bfe1-11ec-9d64-0242ac120002,Glider,,,,
7c32cff6-bfe1-11ec-9d64-0242ac120002,GNSS setup,,,,
7c32d3b6-bfe1-11ec-9d64-0242ac120002,GO-FLO,This is the product name,,,
7c32d4ec-bfe1-11ec-9d64-0242ac120002,Gravity corer,,,Unspecified gravity corer,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1260/
7c32d618-bfe1-11ec-9d64-0242ac120002,Harstad trawl,,Pelagisk trål,,
7c32d79e-bfe1-11ec-9d64-0242ac120002,Helicopter flight,,,,
7c32d94c-bfe1-11ec-9d64-0242ac120002,Ice auger,,,,
7c32da8c-bfe1-11ec-9d64-0242ac120002,Ice corer 9 cm,,,,
7c32dbc2-bfe1-11ec-9d64-0242ac120002,Ice corer,,,,
7c32dd16-bfe1-11ec-9d64-0242ac120002,L-ADCP,,,,
7c32e1da-bfe1-11ec-9d64-0242ac120002,Macroplankton trawl,,,,
7c32e34c-bfe1-11ec-9d64-0242ac120002,MicroPap,,,,
7c32e478-bfe1-11ec-9d64-0242ac120002,MIK-net 1500 um,,Mik,Dual Methot Isaacs-Kidd Trawl net,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0985/
7c32e5ae-bfe1-11ec-9d64-0242ac120002,Mooring,,,,
7c32e6da-bfe1-11ec-9d64-0242ac120002,Multicorer,,Multicorer,,
7c32e806-bfe1-11ec-9d64-0242ac120002,Multinet mammoth,,,,
7c32e932-bfe1-11ec-9d64-0242ac120002,Multinet 180 um,,,Hyrdo-Bios MultiNet Mammoth,http://vocab.nerc.ac.uk/collection/L22/current/NETT0187/
7c32ea68-bfe1-11ec-9d64-0242ac120002,Multinet 64 um,,,Hyrdo-Bios MultiNet Mammoth,http://vocab.nerc.ac.uk/collection/L22/current/NETT0187/
7c32ed6a-bfe1-11ec-9d64-0242ac120002,Niskin,,,Niskin bottle,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0412/
7c32eeaa-bfe1-11ec-9d64-0242ac120002,Optical profiler,,,,
7c32efd6-bfe1-11ec-9d64-0242ac120002,pC02 underway,,,,
7c32f10c-bfe1-11ec-9d64-0242ac120002,Phytoplankton net 10 um,,,,
7c32f238-bfe1-11ec-9d64-0242ac120002,Phytoplankton net 20 um,,,,
7c3300a2-bfe1-11ec-9d64-0242ac120002,RP sled,Epibenthos sled,,,
7c330232-bfe1-11ec-9d64-0242ac120002,ROV,,ROV,,
7c3307aa-bfe1-11ec-9d64-0242ac120002,SBP300,Seismic echo sounder,,,
7c330980-bfe1-11ec-9d64-0242ac120002,Sea water intake,,,,
7c330ad4-bfe1-11ec-9d64-0242ac120002,Secchi disk,,,,
7c330c3c-bfe1-11ec-9d64-0242ac120002,Sediment trap (long term),1 year+,,,
7c330d86-bfe1-11ec-9d64-0242ac120002,Sediment trap (short term),<1 year,,,
7c330ea8-bfe1-11ec-9d64-0242ac120002,Slurp gun,,,,
7c33101a-bfe1-11ec-9d64-0242ac120002,Snow pit,,,,
7c331178-bfe1-11ec-9d64-0242ac120002,Snow probe,includes Magna Probe and stake measurements,,,
7c331628-bfe1-11ec-9d64-0242ac120002,Spear,,,,
7c33177c-bfe1-11ec-9d64-0242ac120002,Suction pump (20 um),,,,
7c3318a8-bfe1-11ec-9d64-0242ac120002,Suction pump (200 um),,,,
7c3319c0-bfe1-11ec-9d64-0242ac120002,Suction pump (500 um),,,,
7c331ad8-bfe1-11ec-9d64-0242ac120002,Surface drifter,,,,
7c331c68-bfe1-11ec-9d64-0242ac120002,Swim net (200 um),,,,
7c331e02-bfe1-11ec-9d64-0242ac120002,Syringe,,,,
7c33217c-bfe1-11ec-9d64-0242ac120002,Thermosalinograph,,,,
7c3323e8-bfe1-11ec-9d64-0242ac120002,Topas40,Seismic echo sounder,,,
7c332654-bfe1-11ec-9d64-0242ac120002,TS probe,Echo Sounder,TS probe,,
7c332866-bfe1-11ec-9d64-0242ac120002,Tube,For sucking up water (from for instance a melt pond,,,
7c332c30-bfe1-11ec-9d64-0242ac120002,USV,Unmanned surface vehicle,,,
7c332d84-bfe1-11ec-9d64-0242ac120002,Vertical microstructure profiler,,,,
7c332f0a-bfe1-11ec-9d64-0242ac120002,Wave recorder,,,,
7c333554-bfe1-11ec-9d64-0242ac120002,Weather station,,,,
7c333734-bfe1-11ec-9d64-0242ac120002,WP2 180 um,,,,
7c333900-bfe1-11ec-9d64-0242ac120002,WP2 64 um,,,,
7c333a86-bfe1-11ec-9d64-0242ac120002,WP2 56 um,,,,
7c33403a-bfe1-11ec-9d64-0242ac120002,WP2 90 um,,,,
7c334238-bfe1-11ec-9d64-0242ac120002,WP3 1000 um,,,,
